ndg;OPEN;2020-01-22 02:28;2020-05-21 23:09;2020-08-18 18:18;[663, 665, 670, 658];[96];651
jqil;OPEN;2020-01-15 18:09;2020-05-15 06:34;2020-08-26 07:14;[667, 663, 677, 673, 683];[96];651
uid;OPEN;2020-02-01 09:39;2020-05-08 06:36;2020-07-21 20:19;[699, 660, 670, 671];[91];651
kvfa;OPEN;2020-01-29 04:21;2020-05-09 20:30;2020-08-16 10:40;[670, 667, 684, 697];[96];651
hbtp;OPEN;2020-01-10 14:17;2020-05-24 23:57;2020-07-12 19:29;[669, 658, 666, 684];[97];651
rumv;OPEN;2020-01-22 17:49;2020-05-27 15:06;2020-07-02 04:31;[661, 698, 661];[93];651
jjbw;OPEN;2020-01-09 14:44;2020-05-28 07:19;2020-08-12 03:55;[658, 677, 688, 670, 677];[93];651
jklp;OPEN;2020-01-10 14:18;2020-05-07 07:08;2020-08-18 03:42;[677, 675, 675, 659, 693];[97];651
trwc;OPEN;2020-01-05 23:01;2020-05-31 07:01;2020-08-03 20:16;[693, 697, 661, 672];[94];651
biv;OPEN;2020-01-08 06:47;2020-05-20 16:48;2020-07-11 00:16;[679, 695, 662];[91];651
apk;OPEN;2020-01-29 03:10;2020-05-27 15:04;2020-08-04 07:02;[682, 686, 672, 681, 670];[93];651
rbx;OPEN;2020-01-06 12:17;2020-05-14 05:57;2020-07-15 01:46;[691, 682, 668, 698];[91];651
zkj;OPEN;2020-01-14 19:35;2020-05-17 10:34;2020-08-03 13:05;[673, 687, 699, 662, 669];[97];651
qfme;OPEN;2020-01-27 07:58;2020-05-02 10:05;2020-08-27 08:37;[675, 668, 660, 677];[94];651
kci;OPEN;2020-01-27 23:46;2020-05-14 12:27;2020-07-17 06:58;[689, 680, 690, 695, 659];[96];651
cah;OPEN;2020-01-23 14:06;2020-05-08 20:39;2020-08-02 22:26;[682, 678, 691, 660, 659];[96];651
cph;OPEN;2020-01-24 07:55;2020-05-27 17:51;2020-08-01 07:38;[661, 676, 696, 664, 681];[98];651
wyb;OPEN;2020-01-30 21:32;2020-05-08 13:57;2020-07-16 06:01;[674, 664, 676, 668, 678];[99];651
awai;OPEN;2020-01-18 16:39;2020-05-23 17:18;2020-07-05 18:30;[684, 688, 686, 690, 686];[99];651
gog;OPEN;2020-01-09 02:02;2020-05-08 10:47;2020-08-08 10:02;[663, 693, 665];[96];651
xxi;OPEN;2020-01-31 20:36;2020-05-09 17:40;2020-08-27 19:12;[693, 666, 691, 693, 699];[98];651
ocvr;OPEN;2020-01-13 02:53;2020-05-19 18:00;2020-08-14 13:07;[672, 661, 693, 679, 658];[92];651
nstj;OPEN;2020-01-17 11:00;2020-05-03 11:19;2020-08-28 16:48;[661, 695, 677];[96];651
njg;OPEN;2020-01-10 07:34;2020-05-03 10:00;2020-08-10 19:24;[681, 684, 664];[98];651
